episode,reward,win,wrong_guesses,repeated_guesses,episode_length
563,-55,0,6,0,7
564,-60,0,6,0,6
565,55,1,3,0,7
566,65,1,1,0,4
567,50,1,2,0,4
568,-60,0,6,0,6
569,-55,0,6,0,7
570,60,1,2,0,5
571,50,1,4,0,7
572,-60,0,6,0,6
573,40,1,4,0,6
574,55,1,1,0,3
575,-60,0,6,0,6
576,60,1,2,0,6
577,-60,0,6,0,6
578,75,1,0,0,5
579,-60,0,6,0,6
580,40,1,3,0,4
581,-60,0,6,0,6
582,-60,0,6,0,6
583,-60,0,6,0,6
584,40,1,3,0,4
585,65,1,2,0,6
586,50,1,3,0,6
587,-60,0,6,0,6
588,-60,0,6,0,6
589,-60,0,6,0,6
590,-60,0,6,0,6
591,50,1,3,0,6
592,35,1,5,0,7
593,50,1,3,0,6
594,-60,0,6,0,6
595,50,1,5,0,10
596,-60,0,6,0,6
597,-55,0,6,0,7
598,70,1,1,0,5
599,-55,0,6,0,7
600,-60,0,6,0,6
601,35,1,4,0,5
602,45,1,5,0,9
603,-55,0,6,0,7
604,50,1,5,0,9
605,70,1,1,0,6
606,30,1,5,0,6
607,70,1,1,0,6
608,65,1,2,0,7
609,-60,0,6,0,6
610,-60,0,6,0,6
611,35,1,5,0,7
612,-60,0,6,0,6
613,35,1,4,0,5
614,-60,0,6,0,6
615,-55,0,6,0,7
616,-60,0,6,0,6
617,-60,0,6,0,6
618,-60,0,6,0,6
619,35,1,5,0,7
620,-60,0,6,0,6
621,-55,0,6,0,7
622,50,1,5,0,10
623,-55,0,6,0,7
624,70,1,1,0,5
625,40,1,5,0,8
626,50,1,4,0,8
627,-60,0,6,0,6
628,-55,0,6,0,7
629,50,1,1,0,2
630,-55,0,6,0,7
631,65,1,2,0,7
632,45,1,4,0,7
633,-60,0,6,0,6
634,40,1,5,0,8
635,55,1,4,0,8
636,-50,0,6,0,8
637,-60,0,6,0,6
638,35,1,4,0,5
639,-60,0,6,0,6
640,45,1,5,0,9
641,-60,0,6,0,6
642,-60,0,6,0,6
643,70,1,0,0,4
644,50,1,3,0,6
645,40,1,5,0,8
646,35,1,5,0,7
647,30,1,5,0,6
648,35,1,4,0,5
649,-55,0,6,0,7
650,-60,0,6,0,6
651,50,1,2,0,4
652,-55,0,6,0,7
653,-55,0,6,0,7
654,55,1,3,0,6
655,-50,0,6,0,8
656,-60,0,6,0,6
657,-60,0,6,0,6
658,45,1,2,0,3
659,55,1,2,0,5
660,55,1,3,0,6
661,-60,0,6,0,6
662,-55,0,6,0,7
663,60,1,2,0,6
664,-55,0,6,0,7
665,-60,0,6,0,6
666,-60,0,6,0,6
667,35,1,4,0,5
668,-55,0,6,0,7
669,-55,0,6,0,7
670,-60,0,6,0,6
671,-60,0,6,0,6
672,-60,0,6,0,6
673,50,1,4,0,7
674,55,1,2,0,5
675,40,1,5,0,8
676,50,1,5,0,9
677,55,1,4,0,9
678,-55,0,6,0,7
679,50,1,4,0,7
680,-60,0,6,0,6
681,-55,0,6,0,7
682,-60,0,6,0,6
683,-60,0,6,0,6
684,60,1,0,0,2
685,-60,0,6,0,6
686,-60,0,6,0,6
687,-55,0,6,0,7
688,-60,0,6,0,6
689,-60,0,6,0,6
690,65,1,1,0,5
691,50,1,5,0,10
692,-60,0,6,0,6
693,-60,0,6,0,6
